List title,Artist full name,Latitude,Longitude,Tags keywords,tags keywords 2,Photo website,Neighborhood,Location,normalized tag
Drawn Water (Valve plate),Mags Harries & Lajos Heder,42.37497472,-71.11099508,water,water; eye; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/HarriesHeder_CAC0201h_CRLS.jpg,Mid-Cambridge,Cambridge Rindge & Latin High School,water
One Seasonal Cycle in a Temperate Zone (Autumn) (Winter),Lisa Houck,42.36673916,-71.10622013,nature,Trees; nature; abstract; color,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Houck_CAC9591cd_OneSeason.jpg,Riverside,Cityside Senior Center,nature
Untitled (Ground paver with sturgeon),William Reimann,42.3676353,-71.11487061,animal,fish; nature; animal; critter; creature; water; swim,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_08_p_Reimann.jpg,Riverside,Corporal Burns Park,animal
Untitled (Brine Tank Murals),Monique Aimee,42.38753034,-71.13330857,community,community; park; recreation; nature; outdoors; people,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Aimee_CACPN_PerspectivePhoto.JPG,Neighborhood Nine,St. Peter's Field,community
Untitled (Cabbage Butterfly and Chicory),Nancy Webb,42.3664338,-71.07637106,nature,insect; butterfly; plant; flower; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_39_Webb.jpg,East Cambridge,Charles Park,nature
Spiral (Snail),David Phillips,42.37202711,-71.11520654,insect,snail; nature; insect,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970207_Spiral.jpg,Mid-Cambridge,Quincy Square,insect
"Drawn Water (bronze pipes, outdoor drinking fountain, circle gate)",Mags Harries & Lajos Heder,42.38353762,-71.14410553,water,water; view; city; pipe; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_02_01g_HarriesMags_HeiderLajos_DrawnWater.jpg,West Cambridge,Walter Sullivan Water Facility,water
Drawn Water (Valve plate),Mags Harries & Lajos Heder,42.36632968,-71.09579526,water,water; ice; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/HarriesHeder_CAC0201p_FletcherMaynard.jpg,The Port,Fletcher-Maynard Elementary Academy,water
Levitated Stone (Frog drain grate South),David Phillips,42.36112621,-71.10772609,animal,frog; animal; fountain; outdoors; land; flora; fauna; nature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_LevitatedStones_52.JPG,Cambridgeport,Dana Park,animal
Spiral (Snail),David Phillips,42.37236175,-71.11551541,insect,snail; nature; insect,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970219_Spiral.jpg,Mid-Cambridge,Quincy Square,insect
The Moses Mosaic,David Fichter,42.36821294,-71.10082102,community,community; children; cambridge,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Fichter_CACMoses_PerspectivePhoto.jpg,,Moses Youth Center,community
Spiral (Snail),David Phillips,42.37222345,-71.11539122,insect,snail; nature; insect,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970216_Spiral.jpg,Mid-Cambridge,Quincy Square,insect
Untitled (Landing Bird),Juliet Kepes,42.39972435,-71.13262556,animal,bird; animal; wings; soar; fly; flight,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Kepes_CAC8007c_PerspectivePhoto.JPG,North Cambridge,Clarendon Avenue Playground,animal
Untitled (Ant),Nancy Webb,42.36689141,-71.07646526,nature,insect; ant; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_20_Webb.jpg,East Cambridge,Charles Park,nature
Sidewalk Histories: Clark & Sons,Mike Mandel,42.35611544,-71.1092646,community,history; neighborhood; community,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_10_01_2_Mandel.jpg,Cambridgeport,Brookline Street (119-222 ),community
Route 2 East,Dominic Michael Killiany,42.38662,-71.136736,landscape,painting; digifuse; color; shape,,Neighborhood Nine,"Danehy Park, Louis A. DePasquale Universal Design Playground",landscape
Rei,Jill Slosberg-Ackerman,42.3671932,-71.09681207,animal,squirrel; animal; trellis; plant,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/cac_04_03_slosbergackerman.JPG,The Port,Squirrel Brand Park,animal
Untitled (Robin bird and road maps from 1700),Nancy O'Neil,42.38234493,-71.11637995,light,"glass, color, light",https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_96_01d_ONeil.JPG,Agassiz,Maria L. Baldwin Elementary School,light
Untitled (Ant and Lily Leaf),Nancy Webb,42.36645964,-71.07634838,nature,insect; ant; plant; flower; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_31_Webb.jpg,East Cambridge,Charles Park,nature
Untitled (bollards),Robin Shores,42.37071164,-71.10427452,children,body language; sports; feet; shoes; children,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Shores_CAC8112a.JPG,Mid-Cambridge,"King Open School (until 2020), the Ola Portuguese Dual Language Immersion Program",children
Drawn Water (Valve plate),Mags Harries & Lajos Heder,42.3735306,-71.12122048,water,water; well; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/HarriesHeder_CAC0201v_Brattle.jpg,West Cambridge,Brattle Square,water
Beacon of Color (b),Nancy Simonds,42.36869395,-71.07772163,abstract,abstract; shape; color,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_11_01b_Simonds.jpg,East Cambridge,First Street Garage,abstract
Water for All (2),Laura Baring-Gould,42.38898056,-71.14915059,nature,water; nature; animal; insect; frog; turtle; plant; creature; critter,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/BaringGould_WaterForAll_02.JPG,Cambridge Highlands,Neville Manor Community Gardens,nature
Floating Stones (Block),Edward Levine,42.38719942,-71.13363791,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
Untitled (Square eclipse),Lilli Ann Rosenberg,42.37809752,-71.15233192,children,play; kids; children; education; community,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Rosenberg_CAC9505_SquareEclipse_PerspectivePhoto.JPG,Strawberry Hill,Haggerty School,children
Untitled (Man on cart),Lilli Ann Rosenberg,42.3720742,-71.0873036,community,neighborhood; family; community; city; tree; nature; bird; animal; fish; sports; truck,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC7905r_ManOnCart_Rosenberg_MillersRiver_2019.JPG,East Cambridge,Millers River Apartments,community
Flag Gate (a),Virginia Gunther,42.39668854,-71.14308844,entryway,flag; metal; entryway,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Gunther_CAC9705a_FlagGate.JPG,North Cambridge,Minuteman Commuter Bikeway,entryway
Revolutionary Figures (Female Figure),Madeleine Lord,42.35670227,-71.10418642,history,history; revolution; metal; activism,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Lord_CAC87041_RevolutionaryFigures.JPG,Cambridgeport,Fort Washington Park,history
Untitled (Cricket),Nancy Webb,42.36610075,-71.07661527,nature,insect; cricket; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_9b_Webb.jpg,East Cambridge,Charles Park,nature
Town Green: Puritan/Lawnmower/Longboat,Michael Glier,42.37007904,-71.10338243,community,"about Cambridge; city; drawing, community; civic; government; democracy",https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Glier_06a_TownGreen_puritan.jpg,Mid-Cambridge,City Hall Annex,community
Turtles,Lilli Ann Rosenberg,42.38283463,-71.1164841,animal,turtle; animal; ocean; water; sea; sea creature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_82_04_Rosenberg.jpg,Agassiz,Edward Alden Park,animal
Spiral,David Phillips,42.37219131,-71.1153047,nature,snail; nature; insect; bench; boulder; stone; fibonacci,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970201_Spiral.JPG,Mid-Cambridge,Quincy Square,nature
Porter Square Landscape Design (Landscape wall),Toshihiro Katayama,42.38891881,-71.11937644,land design,abstract; land design; color; line; shape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Katayama_CAC0601_PorterSquareLandscapeDesign.jpg,North Cambridge,Porter Square Shopping Center,land design
A Long Story,Lynn Basa,42.36531565,-71.10544015,light,color; light; glass,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Basa_ALongStory_18.jpg,Riverside,Alice K. Wolf Center,light
Untitled (Column with herring gull),William Reimann,42.36765512,-71.11605671,animal,bird; nature; animal; critter; creature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_08_d_Reimann.jpg,Riverside,Corporal Burns Park,animal
Untitled (Daylily),Nancy Webb,42.36650829,-71.07649252,nature,plant; flower; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_14_Webb.jpg,East Cambridge,Charles Park,nature
Arbor,Gene Cauthen,42.36588089,-71.09395684,garden,garden; trellis; plant; grow; nurture,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Cauthen_Arbor.jpg,The Port,Greene-Rose Heritage Park,garden
On the Other Side,Yeju Choi & Chat Trevieso,42.38650232,-71.13836568,land design,abstract; land design; play; spirit; fun; fantasy,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/ChoiTravieso_CAC1701_OntheOtherSide_TimothySchenck.jpg,Neighborhood Nine,Fern Street,land design
I'd Hammer Out Love,Judith Inglese,42.3629374,-71.1084235,children,kids; children; education; tree,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC84_04_Inglese_HammerOutLove.JPG,Cambridgeport,The Amigos School,children
Floating Stones (Block),Edward Levine,42.38718583,-71.13361301,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
Levitated Stone (frog drain grate North),David Phillips,42.36118134,-71.10770776,animal,frog; animal; water; outdoors; land; flora; fauna; nature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_LevitatedStones_15.JPG,Cambridgeport,Dana Park,animal
Levitated Stone (Small frog water fountain),David Phillips,42.36113243,-71.10763911,animal,frog; animal; fountain; outdoors; land; flora; fauna; nature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_LevitatedStones_13.JPG,Cambridgeport,Dana Park,animal
Untitled (Dandelions),Nancy Webb,42.36610299,-71.07666683,nature,plant; flower; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_1_Webb.jpg,East Cambridge,Charles Park,nature
Yerxa Road Underpass (South-side birds),Randal Thurston,42.39000783,-71.1292626,animal,bird; animal; wings; soar; fly; flight,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_06_03e_Thurston.jpg,Neighborhood Nine,Yerxa Road Underpass,animal
Landscape Frieze in Glass,Linda Lichtman,42.39104553,-71.122923,light,glass; color; light,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Lichtman_CAC9002_LandscapeFrieze.jpg,North Cambridge,North Cambridge Senior Center,light
Untitled (Column with cardinal),William Reimann,42.3674261,-71.11485339,animal,bird; nature; animal; critter; creature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_08_r_Reimann.JPG,Riverside,Corporal Burns Park,animal
Same Boat Now,Nova Jiang,42.37180853,-71.0913509,community,community; social justice; boat; water; kinetic; technology,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/jiang_cac1901_sameboat.jpg,East Cambridge,King Open/Cambridge Street Upper Schools Community Complex,community
Spiral (Boulder with bronze spiral inlay),David Phillips,42.37219131,-71.1153047,nature,stone; boulder; nature; fibonacci,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970201_Spiral.JPG,Mid-Cambridge,Quincy Square,nature
Untitled (Campion and Fly),Nancy Webb,42.36686744,-71.07610286,nature,insect; fly; plant; flower; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_24_Webb.jpg,East Cambridge,Charles Park,nature
Town Green: Girl Reading in the Grass/Lawnmower(grass)/Longboat,Michael Glier,42.37007904,-71.10338243,community,"about Cambridge; city; drawing, community; civic; government; democracy",https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Glier_02a_TownGreen_girlreading.jpg,Mid-Cambridge,City Hall Annex,community
Untitled (Column with red-winged blackbird),William Reimann,42.36760822,-71.11488111,animal,bird; nature; animal; critter; creature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_08_L_Reimann.JPG,Riverside,Corporal Burns Park,animal
Untitled (Geometric Pattern),György Kepes,42.35613123,-71.11274351,abstract,abstract,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Kepes_CAC9902_UntitledGeometricPatterns.JPG,Cambridgeport,Morse School,abstract
Untitled (Praying Mantis and Cricket),Nancy Webb,42.36597619,-71.07670011,nature,insect; mantis; cricket; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_27_Webb.jpg,East Cambridge,Charles Park,nature
Artesian Well (Sculpture),Bland Hoke,42.38290497,-71.11838947,abstract,steel; abstract,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Hoke_CAC17023_ArtesianWell.jpg,Agassiz,Sacramento Field,abstract
Untitled (a),David Judelson,42.36384818,-71.1036278,abstract,floor; library; abstract,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_79_09a_Judelson.JPG,Cambridgeport,Central Square Branch Library,abstract
Floating Stones (Block),Edward Levine,42.38722535,-71.13360047,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
Rose Arbor,Bart Uchida,42.36743063,-71.09655153,nature,nature; flower; trellis; plant,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_04_02_Uchida.JPG,The Port,Squirrel Brand Park,nature
Gore Field (c),Robert Schelling,42.37291391,-71.0827842,abstract,abstract; shape; entryway; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Schilling_CAC0606c_GoreField.JPG,East Cambridge,Gold Star Mothers Park,abstract
Beacon of Color (g),Nancy Simonds,42.36868038,-71.0776091,abstract,abstract; shape; color,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_11_01g_Simonds.jpg,East Cambridge,First Street Garage,abstract
Taking Note: Heat Transfer,Mel Zeigler,42.37433328,-71.11155788,education,drawing; metal; education,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Ziegler_CAC1302g_HeatTransfer.JPG,Mid-Cambridge,Cambridge Rindge and Latin School,education
Water For All (1),Laura Baring-Gould,42.38770334,-71.15398853,nature,water; nature; animal; insect; frog; turtle; plant; creature; critter,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/BaringGould_WaterForAll_01.jpg,Cambridge Highlands,Fresh Pond Reservation pathway,nature
Untitled (Coreopsis),Nancy Webb,42.36627524,-71.0766053,nature,plant; flower; nature; tiny; treasure; look close,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_11_Webb.jpg,East Cambridge,Charles Park,nature
Yerxa Road Underpass (North-side birds),Randal Thurston,42.39016178,-71.12920556,animal,bird; animal; wings; soar; fly; flight,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_06_03a_Thurston.jpg,North Cambridge,Yerxa Road Underpass,animal
Alley Cats,Judy McKie,42.37204729,-71.09005731,animal,bench; animal; cats; respite; seat; sit,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/McKie_CAC0501_Overall_PerspectivePhoto.JPG,Wellington-Harrington,Cambridge Public Library-Valente Branch,animal
Stone Work (Dragonflies),David Phillips,42.362179,-71.11513002,insect,dragonfly; insect; outdoors; land; flora; fauna; nature,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC8008c_StoneWork.JPG,Riverside,Riverside Press Park,insect
Porter Square Landscape Design,Toshihiro Katayama,42.38886891,-71.11930662,land design,abstract; land design; color; line; shape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Katayama_CAC0601_PorterSquareLandscapeDesign.jpg,North Cambridge,Porter Square Shopping Center,land design
Untitled (Bollard with sports balls),Robin Shores,42.37082878,-71.10461585,sports,sports; children,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Shores_CAC8112a.JPG,Mid-Cambridge,"King Open School (until 2020), the Ola Portuguese Dual Language Immersion Program",sports
Untitled (Ground paver with water lilies),William Reimann,42.3676497,-71.11526786,animal,water lilies; nature; animal; critter; creature; water; plant,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_08_g_Reimann.jpg,Riverside,Corporal Burns Park,animal
Untitled (House),Lilli Ann Rosenberg,42.37212308,-71.08727973,community,neighborhood; family; community; city; tree; nature; bird; animal; fish; sports; truck,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC7905i_House_Rosenberg_MillersRiver_2019.JPG,East Cambridge,Millers River Apartments,community
Dana Park Quotes (Orne),John Powell,42.36129145,-71.1076211,history,political; text; writing; history,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Powell_CAC07051_Orne.JPG,Cambridgeport,Dana Park,history
Untitled (Owls),György Kepes & Juliet Kepes,42.35613187,-71.11274411,animal,animal; take flight; bird; color,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Kepes_UntitledOwls_01.JPG,Cambridgeport,Morse School,animal
Levitated Stone (Fountain),David Phillips,42.36119239,-71.10774152,nature,nature; stone; tree; branch; water; fountain; outdoors; land; flora; fauna,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_LevitatedStones_06.JPG,Cambridgeport,Dana Park,nature
"Tribute to Martin Luther King, Jr.",Lilli Ann Rosenberg,42.36402097,-71.10391269,community,memorial; martin luther king; community; activism,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Rosenberg_CAC8530_MLK.JPG,Cambridgeport,Cambridge Public Library- Central Square Branch,community
