List title,Artist full name,Latitude,Longitude,Tags keywords,tags keywords 2,Photo website,Neighborhood,Location,normalized tag
Inner City Totem I,Vusumuzi Maduna,42.36543405,-71.11116808,abstract,abstract; black artist; african art; history,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Maduna_CAC8101_PerspectivePhoto.JPG,Riverside,Cambridge Community Center,abstract
Floating Stones (Block),Edward Levine,42.38723211,-71.13365114,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
The Late Flower Alphabet: Kyrie Gate,Murray Dewart,42.36781854,-71.11037121,abstract,garden; plant; grow; nurture; abstract; symbol; entryway,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Dewart_TheLateFlowerAlphabet_c_KyrieGate.JPG,Riverside,Franklin Street Park,abstract
Floating Stones (Block),Edward Levine,42.3871868,-71.13367639,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
Untitled (Moses Youth Center Collaborative),Marc Cooper,42.3684011,-71.10075015,Abstract,abstract; shape; garden; surf,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Cooper_Untitled_04.jpg,,Moses Youth Center,abstract
Gore Field (b),Robert Schelling,42.37228735,-71.08337673,abstract,abstract; shape; entryway; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Schilling_CAC0606b_GoreField.JPG,East Cambridge,Gold Star Mothers Park,abstract
Beacon of Color (e),Nancy Simonds,42.36868592,-71.07765427,abstract,abstract; shape; color,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_11_01e_Simonds.jpg,East Cambridge,First Street Garage,abstract
Floating Stones (Ground inlay),Edward Levine,42.38725101,-71.13357663,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
The Late Flower Alphabet: Bright Morning,Murray Dewart,42.36770142,-71.11037392,abstract,abstract; symbol; garden; plant; grow; nurture,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Dewart_TheLateFlowerAlphabet_b_BrightMorning.jpg,Riverside,Franklin Street Park,abstract
Shadow Walk,Beth Galston,42.36674522,-71.09509001,abstract,abstract; metal,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/cac_84_03a_gregorywye.jpg,The Port,Greene-Rose Heritage Park,abstract
Shadow Walk (a),Beth Galston,42.36674522,-71.09509001,abstract,abstract; metal,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/cac_84_03a_gregorywye.jpg,The Port,Greene-Rose Heritage Park,abstract
Pipe Dreams,NuVu Studio,42.38665,-71.13643,abstract,abstract; play; community,,Neighborhood Nine,Louis A. DePasquale Universal Design Playground,abstract
Floating Stones (Block),Edward Levine,42.38727513,-71.13356518,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
Quake,Dewitt Godfrey,42.35855353,-71.10269679,abstract,abstract; entryway; biking; bike path,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Godfrey_CA1503_Quake.JPG,Cambridgeport,Waverly Street Extension/ Waverly Path,abstract
Floating Stones (Block),Edward Levine,42.38726604,-71.13362638,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
Beacon of Color,Nancy Simonds,42.36871809,-71.07751555,abstract,abstract; shape; color,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_11_01_Simonds.JPG,East Cambridge,First Street Garage,abstract
Gore Field (a),Robert Schelling,42.37228047,-71.08334508,abstract,abstract; shape; entryway; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Schilling_CAC0606a_GoreField.JPG,East Cambridge,Gold Star Mothers Park,abstract
Dot Matrix,Edwin Andrews,42.36414685,-71.10329853,abstract,abstract; shape; color; light; play,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Andrews_CAC0404_DotMatrix.JPG,Cambridgeport,Green St. Garage,abstract
Untitled (Moses Youth Center Collaborative),Marc Cooper,42.36836603,-71.10073318,Abstract,abstract; shape; surf; garden,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Cooper_Untitled_05.jpg,,Moses Youth Center,abstract
Beacon of Color (d),Nancy Simonds,42.36868845,-71.07767186,abstract,abstract; shape; color,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_11_01d_Simonds.jpg,East Cambridge,First Street Garage,abstract
Gore Field (g),Robert Schelling,42.37246997,-71.08458351,abstract,abstract; sports; baseball; shape; entrayway; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Schilling_CAC0606g_GoreField.JPG,East Cambridge,Gold Star Mothers Park,abstract
Untitled (Moses Youth Center Collaborative),Marc Cooper,42.36838327,-71.10072199,Abstract,abstract; garden; surf; shape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Cooper_Untitled_03.jpg,,Moses Youth Center,abstract
Never Green Tree,William Wainwright,42.36975334,-71.07576661,abstract,kinetic; abstract; tree; wings; soar; fly; flight,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_87_01_Wainwright.JPG,East Cambridge,Canal Park,abstract
Beacon of Color (k),Nancy Simonds,42.36900761,-71.07741914,abstract,abstract; shape; color,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_11_01k_Simonds.JPG,East Cambridge,First Street Garage,abstract
Patchwork Oasis,Jane Goldman,42.39348573,-71.13098306,abstract,abstract,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/cac_01_03ae_goldman.JPG,North Cambridge,James F. Walsh Square,abstract
Floating Stones (Block),Edward Levine,42.3872294,-71.13361038,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
Gate House,Lloyd Hamrol,42.36518135,-71.07668956,abstract,color; metal; abstract,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Hamrol_CAC_86_09ac_GateHouse.jpg,East Cambridge,Front Park,abstract
Beacon of Color (c),Nancy Simonds,42.36869138,-71.07769421,abstract,abstract; shape; color,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_11_01c_Simonds.jpg,East Cambridge,First Street Garage,abstract
Gore Field (f),Robert Schelling,42.37247857,-71.08461014,abstract,abstract; shape; entryway; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Schilling_CAC0606f_GoreField.JPG,East Cambridge,Gold Star Mothers Park,abstract
Gore Field (e),Robert Schelling,42.37291417,-71.08281457,abstract,abstract; shape; entryway; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Schilling_CAC0606e_GoreField.JPG,East Cambridge,Gold Star Mothers Park,abstract
Beacon of Color (h),Nancy Simonds,42.36867587,-71.07757947,abstract,abstract; shape; color,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_11_01h_Simonds_.jpg,East Cambridge,First Street Garage,abstract
Untitled (Moses Youth Center Collaborative),Marc Cooper,42.36837732,-71.10068712,Abstract,abstract; garden; surf,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Cooper_Untitled_02.jpg,,Moses Youth Center,abstract
The Late Flower Alphabet: Gate,Murray Dewart,42.36758135,-71.11049955,abstract,abstract; symbol; garden; plant; grow; nurture,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Dewart_TheLateFlowerAlphabet_a_Gate.jpg,Riverside,Franklin Street Park,abstract
Beacon of Color (b),Nancy Simonds,42.36869395,-71.07772163,abstract,abstract; shape; color,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_11_01b_Simonds.jpg,East Cambridge,First Street Garage,abstract
